subject,body,label
Order Confirmation - ORD4337,"Subject: Order Confirmation - ORD4337 Dear User, Thank you for your order! Your order with number ORD4337 has been successfully placed. You can track your order status here: https://shipping.example.com/status/319739 Thank you for shopping with us. Sincerely, The QuickShop Team",AI
Inquiry Response - the new software update,"Dear Valued Customer, Thank you for please your recent inquiry regarding your account status. We appreciate your interest. Please find the requested information below. Details about the product can be found on our website. If you require further assistance, please do not hesitate to contact us. Sincerely, The ABC Corp Team",AI
Regarding your recent inquiry,"Hope you're doing well.

Thank you so much for tomorrow. I really appreciate your help.

Talk soon,
David",human
Important Notification,"Subject: Important Notification Dear User, This is the an automated message to inform you about upcoming maintenance. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Checking in,"Hope you're doing well.

Please accept my apologies for tomorrow. It won't happen again.

Best regards,
Mike",human
Sorry about the delay,"Hope you're doing well.

Could you please provide an update on the new feature?

Sincerely,
Jane",human
Inquiry Response - the new software update,"Dear Valued Customer, Thank you for your recent inquiry regarding our premium membership. We appreciate your interest. Please find the requested information below. The updated terms and conditions are attached. If you require further a assistance, please do not hesitate to contact the us. Sincerely, The Global Solutions Team",AI
Quick question about the company picnic,"Hope you're doing well.

Could you please provide an update on the report?

Thanks,
Mike",human
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about upcoming maintenance. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Inquiry Response - your account status,"Dear Valued Customer, Thank you for your recent inquiry regarding our premium membership. We appreciate your interest. Please find the requested a below. a The updated terms and conditions are attached. If you require further assistance, please do not hesitate to contact us. Sincerely, The Global Solutions Team",AI
Checking in,"Hope you're doing well.

I have a question about my order. Could you please assist me?

Sincerely,
David",human
Inquiry Response - your account status,"Dear Valued Customer, Thank you for your recent inquiry regarding your account status. We appreciate your interest. Please find the requested information below. some updated terms and conditions are attached. If you require further assistance, please do not hesitate to contact us. Sincerely, The Global Solutions Team",AI
Update on project the new feature,"Hope you're doing well.

Here is the latest update on project my order. We've made good progress on [Task].

Thanks,
Jane",human
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a security alert. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Order Confirmation - ORD4911,"Subject:4 a Confirmation - ORD4911 Dear Account Holder, Thank you for your order! Your order with number ORD4911 has been successfully placed. the You can track your order status here: http://track.example.com/135535 Thank you for shopping with us. Sincerely, The OnlineMarket Team",AI
Thank you!,"Hope you're doing well.

Just wanted to let you know about the report. It was quite interesting.

Thanks,
John",human
Quick question about the delay,"Hope you're doing well.

Please accept my apologies for the report. It won't happen again.

Talk soon,
Mike",human
Regarding your recent inquiry,"Hope you're doing well.

You're invited to my birthday on [Date] at [Time]. Hope you can make it!

Talk soon,
Jane",human
Sorry about my trip,"Hope you're doing well.

Just wanted to let you know about tomorrow. It was quite interesting.

Cheers,
Emily",human
Confirming our meeting,"Hope you're doing well.

Could you please provide an update on the delay?

Sincerely,
Jane",human
Inquiry Response - the new software update,"Dear Valued Customer, Thank you for your recent inquiry regarding our premium membership. We appreciate your interest. Please find the requested information below. Details about the product can be found on our website. If you require some assistance, please do not hesitate to contact us. Sincerely, The XYZ Services Team",AI
Quick question about the party,"Hope you're doing well.

Here is the latest update on project your help. We've made good progress on [Task].

Thanks,
Jane",human
Confirming our meeting,"Hope you're doing well.

Thank you so much for the report. I really appreciate your help.

Cheers,
Sarah",human
Checking in,"Hope you're doing well.

You're invited to the workshop on [Date] at [Time]. Hope you can make it!

Sincerely,
David",human
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a policy change. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Quick question about my order,"Hope you're doing well.

Here is the latest update on project the party. We've made good progress on [Task].

Cheers,
Emily",human
Quick question about tomorrow,"Hope you're doing well.

You're invited to the company picnic on [Date] at [Time]. Hope you can make it!

Best regards,
John",human
Regarding your recent inquiry,"Hope you're doing well.

Here is the latest update on project the party. We've made good progress on [Task].

Best regards,
Mike",human
Update on project tomorrow,"Hope you're doing well.

Here is the latest update on project the delay. We've made good progress on [Task].

Thanks,
Emily",human
Order Confirmation - ORD1670,"Subject: Order Confirmation - ORD1670 Dear Account Holder, kindly Thank you for your order! Your order with number ORD1670 has been successfully placed. You can track your order status here: https://shipping.example.com/status/321424 Thank you for shopping with us. Sincerely, The ShopNow Team",AI
Quick question about the delay,"Hope you're doing well.

Please accept my apologies for tomorrow. It won't happen again.

Cheers,
Sarah",human
Inquiry Response - the new software update,"Dear Valued Customer, Thank you for your recent inquiry regarding your a account status. We appreciate your interest. Please find the requested information below. Details about the product can be found on our website. If you require further assistance, please do not hesitate to contact us. Sincerely, The ABC Corp Team",AI
Regarding your recent inquiry,"Hope you're doing well.

Here is the latest update on project tomorrow. We've made good progress on [Task].

Talk soon,
Mike",human
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a policy change. Please take the very action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Important Notification,"Subject: a Important Notification Dear User, This is an automated message to inform you about eupcoming maintenance. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Quick question about my order,"Hope you're doing well.

You're invited to the company picnic on [Date] at [Time]. Hope you can make it!

Sincerely,
David",human
Inquiry Response - your account status,"Dear Valued Customer, Thank you for your recent inquiry regarding our premium membership. We appreciate your interest. Please find the requested information below. Your account balance is [Amount]. If you require further assistance, please do not hesitate to contact us. Sincerely, The ABC Corp Team",AI
Confirming our meeting,"Hope you're doing well.

Please accept my apologies for the new feature. It won't happen again.

Best regards,
Sarah",human
Order Confirmation - ORD2128,"Subject: Order Confirmation - ORD2128 Dear User, Thank you for your order! Your order with number ORD2128 has been successfully placed. You can track your order status here: http://track.example.com/533717 Thank you for shopping with us. Sincerely, The OnlineMarket Team",AI
Thank you!,"Hope you're doing well.

You're invited to the company picnic on [Date] at [Time]. Hope you can make it!

Cheers,
Sarah",human
Checking in,"Hope you're doing well.

I have a question about my order. Could you please assist me?

Talk soon,
Emily",human
Invitation to the report,"Hope you're doing well.

Please accept my apologies for the delay. It won't happen again.

Talk soon,
Mike",human
Order Confirmation - ORD5143,"Subject: Order Confirmation - ORD5143 Dear Account Holder, Thank you for your order! Your order with number ORD5143 has been successfully placed. You can track your order status here: https://shipping.example.com/status/204002 Thank you for shopping with us. Sincerely, The OnlineMarket Team",AI
Invitation to my trip,"Hope you're doing well.

I have a question about tomorrow. Could you please assist me?

Thanks,
Emily",human
Inquiry Response - our premium membership,"Dear Valued Customer, Thank you for your recent inquiry regarding the just software some We appreciate your interest. Please find the requested information below. Your account balance is [Amount]. If you require further assistance, please do not hesitate to contact us. Sincerely, The XYZ Services Team",AI
Checking in,"Hope you're doing well.

Thank you so much for your help. I really appreciate your help.

Sincerely,
David",human
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a policy change. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Order Confirmation - ORD2672,"Subject: Order Confirmation - ORD2672 Dear User, Thank you for your order! Your order with number ORD2672 has been successfully placed. You can track your order status here: http://track.example.com/304551 Thank you for shopping with us. Sincerely, The ShopNow Team",AI
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a security alert. Please take the necessary action as soon as possible. the you for your attention to this matter. Regards, Automated System",AI
Sorry about the workshop,"Hope you're doing well.

Just wanted to let you know about tomorrow. It was quite interesting.

Talk soon,
Mike",human
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a policy change. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Inquiry Response - your account status,"Dear Valued Customer, Thank you for your recent inquiry regarding your account status. We appreciate your interest. Please find kindly the requested information below. The updated terms a conditions are attached. If you require further assistance, please do not hesitate to contact us. Sincerely, The ABC Corp Team",AI
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a security alert. Please take the the action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Quick question about my trip,"Hope you're doing well.

You're invited to the company picnic on [Date] at [Time]. Hope you can make it!

Best regards,
John",human
Checking in,"Hope you're doing well.

Just wanted to let you know about the party. It was quite interesting.

Best regards,
David",human
Invitation to my birthday,"Hope you're doing well.

Please accept my apologies for tomorrow. It won't happen again.

Thanks,
John",human
Inquiry Response - the new software update,"Dear Valued Customer, Thank you for your recent inquiry regarding our premium membership. We appreciate your interest. Please find the requested information below. Your account balance is [Amount]. If you require further assistance, please do not hesitate to contact us. Sincerely, The just Corp Team",AI
Order Confirmation - ORD1256,"Subject: Order Confirmation - ORD1256 Dear Account Holder, Thank you for your order! Your order with number ORD1256 has been successfully just You can track your order status here: https://shipping.example.com/status/798819 Thank you for shopping with us. Sincerely, The QuickShop Team",AI
Thank you!,"Hope you're doing well.

Just wanted to let you know about the report. It was quite interesting.

Cheers,
John",human
Order Confirmation - ORD5471,"Subject: Order Confirmation - ORD5471 Dear User, Thank you for your order! Your order with number ORD5471 has been successfully placed. You can track your order status here: http://track.example.com/223389 Thank you for shopping with us. Sincerely, The BuyEasy Team",AI
Important Notification,"Subject: Important Notification Dear User, kindly This is an automated message to inform you about upcoming maintenance. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Quick question about tomorrow,"Hope you're doing well.

Thank you so much for your help. I really appreciate your help.

Best regards,
Emily",human
Checking in,"Hope you're doing well.

This is to confirm our meeting scheduled for [Date] at [Time]. Looking forward to it.

Best regards,
Emily",human
Sorry about my birthday,"Hope you're doing well.

This is to confirm our meeting scheduled for [Date] at [Time]. Looking forward to it.

Cheers,
Emily",human
Invitation to tomorrow,"Hope you're doing well.

You're invited to the company picnic on [Date] at [Time]. Hope you can make it!

Thanks,
John",human
Order Confirmation - ORD5608,"Subject: Order Confirmantion - ORD5608 Dear Account Holder, Thank you for your order! Your order with number ORD5608 has been successfully placed. You can track your order status here: http://track.example.com/381365 Thank you for shopping with us. Sincerely, The BuyEasy Team",AI
Invitation to the party,"Hope you're doing well.

I have a question about your help. Could you please assist me?

Cheers,
Jane",human
Update on project my order,"Hope you're doing well.

Thank you so much for my order. I really appreciate your help.

Cheers,
John",human
Inquiry Response - your account status,"Dear Valued Customer, Thank you for your recent inquiry kindly regarding our premium membership. We appreciate your interest. Please find just requested information below. Details about the product can be found on our website. If you require further assistance, please do not hesitate to contact us. Sincerely, The XYZ Services Team",AI
Order Confirmation - ORD2879,"Subject: Order Confirmation - ORD2879 Dear User, Thank you for your order! Your order with number ORD2879 has been successfully placed. You can track your order status here: http://track.example.com/402256 Thank you for shopping with us. Sincerely, The BuyEasy Team",AI
Confirming our meeting,"Hope you're doing well.

Please accept my apologies for the new feature. It won't happen again.

Cheers,
Sarah",human
Order Confirmation - ORD1635,"Subject: Order Confirmation - ORD1635 Dear User, Thank kindly you for your order! Your order with number ORD1635 fhas been successfully placed. You can track your order status here: https://shipping.example.com/status/827478 Thank you for shopping with us. Sincerely, The QuickShop Team",AI
Update on project your help,"Hope you're doing well.

This is to confirm our meeting scheduled for [Date] at [Time]. Looking forward to it.

Cheers,
John",human
Inquiry Response - your account status,"Dear Valued Customer, Thank you for your recent inquiry regarding your account status. We appreciate your interest. Please find the requested information below. The updated terms and conditions are attached. If you require further assistance, please do not hesitate to contact us. Sincerely, The Global Solutions Team",AI
Order Confirmation - ORD5422,"Subject: Order Confirmation - ORD5422 Dear Account Holder, Thank you for your order! Your order with number ORD5422 has been successfully placed. You can track your order status here: https://shipping.example.com/status/783083 Thank you for shopping with us. Sincerely, The OnlineMarket Team",AI
Inquiry Response - our premium membership,"Dear Valued Customer, Thank you for your recent inquiry regarding our premium membership. We appreciate your interest. Please find the requested information below. Details about the product can be found on our please website. If you require further assistance, please do not hesitate to contact us. Sincerely, The ABC Corp Team",AI
Quick question about the party,"Hope you're doing well.

Here is the latest update on project tomorrow. We've made good progress on [Task].

Cheers,
Jane",human
Order Confirmation - ORD6727,"Subject: Order Confirmation - ORD6727 Dear User, Thank you for your order! Your order with number ORD6727 has been successfully placed. You can track your order status here: https://shipping.example.com/status/264121 Thank you for shopping with us. Sincerely, The BuyEasy Team",AI
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about upcoming maintenance. Please take the necessary action just soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Quick question about the new feature,"Hope you're doing well.

Here is the latest update on project the delay. We've made good progress on [Task].

Best regards,
Sarah",human
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about upcoming maintenance. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a security alert. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Invitation to my trip,"Hope you're doing well.

You're invited to my birthday on [Date] at [Time]. Hope you can make it!

Thanks,
David",human
Inquiry Response - your account status,"Dear Valued Customer, Thank you for your recent inquiry regarding the new software update. We appreciate the your interest. Please find the requested information below. The updated terms and conditions are attached. If you require further please assistance, please do not hesitate to contact us. Sincerely, The Global Solutions Team",AI
Invitation to the new feature,"Hope you're doing well.

I have a question about tomorrow. Could you please assist me?

Cheers,
Jane",human
Inquiry Response - our premium membership,"Dear Valued Customer, Thank you for your the inquiry regarding your account status. We appreciate your interest. Please find the requested information below. The updated terms and conditions a are attached. If you require further assistance, please do not hesitate to contact us. Sincerely, The XYZ Services Team",AI
Order Confirmation - ORD3953,"Subject: Order Confirmation - ORD3953 Dear Account Holder, Thank you for your order! Your order with number ORD3953 has been successfully placed. You can track your order status here: https://shipping.example.com/status/256791 Thank you for shopping with us. Sincerely, The ShopNow Team",AI
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a policy change. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a policy change. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Update on project tomorrow,"Hope you're doing well.

This is to confirm our meeting scheduled for [Date] at [Time]. Looking forward to it.

Talk soon,
Emily",human
Checking in,"Hope you're doing well.

This is to confirm our meeting scheduled for [Date] at [Time]. Looking forward to it.

Thanks,
Emily",human
Inquiry Response - your account status,"Dear Valued Customer, Thank you for your recent inquiry regarding your account status. We appreciate your interest. Please find the requested information below. Your account balance is [Amount]. If you require further assistance, please do not hesitate to contact us. Sincerely, The ABC Corp Team",AI
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a policy change. Please take the necessary action as soon as kindly possible. Thank you for your attention to this matter. Regards, Automated System",AI
Checking in,"Hope you're doing well.

Please accept my apologies for the new feature. It won't happen again.

Thanks,
Emily",human
Update on project the report,"Hope you're doing well.

Please accept my apologies for tomorrow. It won't happen again.

Cheers,
Mike",human
Order Confirmation - ORD2131,"Subject: Order Confirmation - ORD2131 Dear Account Holder, Thank you for your order! Your order with number ORD2131 has been successfully placed. You can track your order status here: https://shipping.example.com/status/274685 Thank you for shopping with us. Sincerely, The ShopNow Team",AI
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a policy change. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Confirming our meeting,"Hope you're doing well.

Please accept my apologies for your help. It won't happen again.

Talk soon,
Emily",human
Inquiry Response - our premium membership,"Dear Valued Customer, Thank you for your recent inquiry regarding our premium membership. We appreciate your interest. Please find the requested information below. Details about the product can be found on our website. If you require further assistance, please do not hesitate to contact us. Sincerely, The Global the Team",AI
Inquiry Response - our premium membership,"Dear Valued Customer, Thank you for your recent inquiry regarding our premium membership. We appreciate your interest. Please find the requested information below. Details about the product can be found on our website. If you require further assistance, please do not hesitate to contact us. Sincerely, The XYZ Services Team",AI
Order Confirmation - ORD6501,"Subject: Order Confirmation - ORD6501 Dear Customer, Thank you for your order! Your order with number ORD6501 has been kindly successfully placed. You can track your order status here: https://shipping.example.com/status/826748 Thank you for shopping with us. Sincerely, The ShopNow Team",AI
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a security alert. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated the System",AI
Order Confirmation - ORD3031,"Subject: Order Confirmation - ORD3031 Dear Customer, Thank you for your order! Your order with number ORD3031 has been successfully placed. You can track your order status here: https://shipping.example.com/status/373597 Thank you for shopping with us. Sincerely, The BuyEasy Team",AI
Thank you!,"Hope you're doing well.

Thank you so much for your help. I really appreciate your help.

Talk soon,
Mike",human
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a policy change. Please take the necessary action as soon as possible. Thank you for your attention to the this matter. Regards, Automated System",AI
Checking in,"Hope you're doing well.

Please accept my apologies for your help. It won't happen again.

Best regards,
Emily",human
Important Notification,"Subject: Important Notification very User, This is an automated message to inform you about a policy change. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Thank you!,"Hope you're doing well.

Thank you so much for the report. I really appreciate your help.

Best regards,
David",human
Sorry about my order,"Hope you're doing well.

Just wanted to let you know about the party. It was quite interesting.

Sincerely,
Emily",human
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about upcoming maintenance. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Confirming our meeting,"Hope you're doing well.

Could you please provide an update on my trip?

Talk soon,
Jane",human
Confirming our meeting,"Hope you're doing well.

You're invited to the company picnic on [Date] at [Time]. Hope you can make it!

Best regards,
David",human
Quick question about tomorrow,"Hope you're doing well.

Please accept my apologies for the delay. It won't happen again.

Sincerely,
Jane",human
Confirming our meeting,"Hope you're doing well.

Thank you so much for tomorrow. I really appreciate your help.

Talk soon,
David",human
Order Confirmation - ORD5905,"Subject: Order Confirmation - ORD5905 Dear User, Thank you for your order! Your order with number ORD5905 has been successfully placed. You can track your order status here: http://track.example.com/978668 Thank you for shopping with us. Sincerely, The BuyEasy Team",AI
Invitation to my birthday,"Hope you're doing well.

Thank you so much for my trip. I really appreciate your help.

Cheers,
David",human
Sorry about the party,"Hope you're doing well.

Could you please provide an update on the delay?

Best regards,
Jane",human
Important Notification,"Subject: Important Notification Dear User, This is some automated message to inform you about a policy change. Please take the necessary action aus soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Order Confirmation - ORD8031,"Subject: just Confirmation - ORD8031 Dear Customer, Thank you for your order! Your order with number ORD8031 has been successfully placed. You can track your order status here: https://shipping.example.com/status/704174 Thank you for shopping with us. Sincerely, The BuyEasy Team",AI
Checking in,"Hope you're doing well.

Could you please provide an update on the delay?

Best regards,
Emily",human
Update on project the new feature,"Hope you're doing well.

Could you please provide an update on the party?

Sincerely,
John",human
Important Notification,"Subject: Important Notification Dear User, This just an automated message to inform you about upcoming maintenance. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Inquiry Response - your account status,"Dear Valued Customer, Thank you for your recent inquiry regarding your account status. We appreciate your interest. Please find the requested information below. Details about the product can be found on our website. If you require further assistance, please do not hesitate to contact us. Sincerely, The XYZ Services Team",AI
